video_id,task_id,candidate,episode_ix,success,own_score,robometer_score
task_0__bundle_k_10__episode_00,0,bundle_k_10,0,True,0.7952997088432312,0.4972913861274719
task_0__bundle_k_10__episode_01,0,bundle_k_10,1,True,0.8724766969680786,0.5844486355781555
task_0__bundle_k_10__episode_02,0,bundle_k_10,2,True,0.8572342991828918,0.6495705246925354
task_0__bundle_k_10__episode_03,0,bundle_k_10,3,True,0.729988157749176,0.6121703386306763
task_0__bundle_k_10__episode_04,0,bundle_k_10,4,True,0.833787202835083,0.6690121293067932
task_0__bundle_k_10__episode_05,0,bundle_k_10,5,True,0.8207809329032898,0.499485582113266
task_0__bundle_k_10__episode_06,0,bundle_k_10,6,True,0.8764567375183105,0.6680682897567749
task_0__bundle_k_10__episode_07,0,bundle_k_10,7,False,0.7057784795761108,0.44498753547668457
task_0__bundle_k_10__episode_08,0,bundle_k_10,8,True,0.8035842776298523,0.4673048257827759
task_0__bundle_k_10__episode_09,0,bundle_k_10,9,True,0.8045469522476196,0.5989453196525574
task_0__bundle_k_10__episode_10,0,bundle_k_10,10,True,0.7202838063240051,0.525387167930603
task_0__bundle_k_10__episode_11,0,bundle_k_10,11,True,0.7711315155029297,0.7204170227050781
task_0__bundle_k_10__episode_12,0,bundle_k_10,12,True,0.7433919310569763,0.6338644623756409
task_0__bundle_k_10__episode_13,0,bundle_k_10,13,True,0.7718566656112671,0.7077292203903198
task_0__bundle_k_10__episode_14,0,bundle_k_10,14,False,0.6937146186828613,0.16965743899345398
task_0__bundle_k_10__episode_15,0,bundle_k_10,15,True,0.8781788349151611,0.6678475141525269
task_0__bundle_k_10__episode_16,0,bundle_k_10,16,True,0.8690958619117737,0.7009071111679077
task_0__bundle_k_10__episode_17,0,bundle_k_10,17,True,0.8897321224212646,0.5891825556755066
task_0__bundle_k_10__episode_18,0,bundle_k_10,18,False,0.8141445517539978,0.6269934773445129
task_0__bundle_k_10__episode_19,0,bundle_k_10,19,True,0.8696093559265137,0.7090834379196167
task_0__bundle_k_1__episode_00,0,bundle_k_1,0,False,0.8315191864967346,0.494334876537323
task_0__bundle_k_1__episode_01,0,bundle_k_1,1,False,0.8619208931922913,0.13493455946445465
task_0__bundle_k_1__episode_02,0,bundle_k_1,2,False,0.8734120726585388,0.5745000243186951
task_0__bundle_k_1__episode_03,0,bundle_k_1,3,False,0.9003536701202393,0.3841705322265625
task_0__bundle_k_1__episode_04,0,bundle_k_1,4,True,0.8949368596076965,0.677135705947876
task_0__bundle_k_1__episode_05,0,bundle_k_1,5,True,0.8688017129898071,0.6695716381072998
task_0__bundle_k_1__episode_06,0,bundle_k_1,6,False,0.9055724740028381,0.24557535350322723
task_0__bundle_k_1__episode_07,0,bundle_k_1,7,False,0.8433690071105957,0.566639244556427
task_0__bundle_k_1__episode_08,0,bundle_k_1,8,False,0.8739738464355469,0.3283580541610718
task_0__bundle_k_1__episode_09,0,bundle_k_1,9,False,0.8232085108757019,0.46192097663879395
task_0__bundle_k_1__episode_10,0,bundle_k_1,10,True,0.8133234977722168,0.6694247722625732
